Metropolitan area,Unemployment Rate,Rank,Year,Month,City/Area,State
"Corvallis, OR Metropolitan Statistical Area",2.9,37,2020,3,Corvallis,OR
"Decatur, AL Metropolitan Statistical Area",2.9,37,2020,3,Decatur,AL
"Enid, OK Metropolitan Statistical Area",2.9,37,2020,3,Enid,OK
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",2.9,37,2020,3,La Crosse-Onalaska,WI-MN
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",2.9,37,2020,3,Lafayette-West Lafayette,IN
"Lawrence, KS Metropolitan Statistical Area",2.9,37,2020,3,Lawrence,KS
"Logan, UT-ID Metropolitan Statistical Area",2.9,37,2020,3,Logan,UT-ID
"Auburn-Opelika, AL Metropolitan Statistical Area",3.0,46,2020,3,Auburn-Opelika,AL
"Birmingham-Hoover, AL Metropolitan Statistical Area",3.0,46,2020,3,Birmingham-Hoover,AL
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",3.0,46,2020,3,Boston-Cambridge-Nashua,MA-NH
"Columbia, MO Metropolitan Statistical Area",3.0,46,2020,3,Columbia,MO
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",3.0,46,2020,3,Daphne-Fairhope-Foley,AL
"Fond du Lac, WI Metropolitan Statistical Area",3.0,46,2020,3,Fond du Lac,WI
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",3.0,46,2020,3,Indianapolis-Carmel-Anderson,IN
"Lansing-East Lansing, MI Metropolitan Statistical Area",3.0,46,2020,3,Lansing-East Lansing,MI
"Staunton-Waynesboro, VA Metropolitan Statistical Area",3.0,46,2020,3,Staunton-Waynesboro,VA
"California-Lexington Park, MD Metropolitan Statistical Area",3.1,55,2020,3,California-Lexington Park,MD
"Harrisonburg, VA Metropolitan Statistical Area",3.1,55,2020,3,Harrisonburg,VA
"Mankato-North Mankato, MN Metropolitan Statistical Area",3.1,55,2020,3,Mankato-North Mankato,MN
"Midland, TX Metropolitan Statistical Area",3.1,55,2020,3,Midland,TX
"Sioux Falls, SD Metropolitan Statistical Area",3.1,55,2020,3,Sioux Falls,SD
"Springfield, IL Metropolitan Statistical Area",3.1,55,2020,3,Springfield,IL
"Tuscaloosa, AL Metropolitan Statistical Area",3.1,55,2020,3,Tuscaloosa,AL
"Winchester, VA-WV Metropolitan Statistical Area",3.1,55,2020,3,Winchester,VA-WV
"Carbondale-Marion, IL Metropolitan Statistical Area",3.2,63,2020,3,Carbondale-Marion,IL
"Florence, SC Metropolitan Statistical Area",3.2,63,2020,3,Florence,SC
"Fort Wayne, IN Metropolitan Statistical Area",3.2,63,2020,3,Fort Wayne,IN
"Grand Forks, ND-MN Metropolitan Statistical Area",3.2,63,2020,3,Grand Forks,ND-MN
"Green Bay, WI Metropolitan Statistical Area",3.2,63,2020,3,Green Bay,WI
"Kalamazoo-Portage, MI Metropolitan Statistical Area",3.2,63,2020,3,Kalamazoo-Portage,MI
"Lewiston, ID-WA Metropolitan Statistical Area",3.2,63,2020,3,Lewiston,ID-WA
"Bloomington, IN Metropolitan Statistical Area",3.3,70,2020,3,Bloomington,IN
"Dothan, AL Metropolitan Statistical Area",3.3,70,2020,3,Dothan,AL
"Evansville, IN-KY Metropolitan Statistical Area",3.3,70,2020,3,Evansville,IN-KY
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",3.3,70,2020,3,Fayetteville-Springdale-Rogers,AR-MO
"Lewiston-Auburn, ME Metropolitan NECTA",3.3,70,2020,3,Lewiston-Auburn,ME
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",3.3,70,2020,3,Milwaukee-Waukesha-West Allis,WI
"Topeka, KS Metropolitan Statistical Area",3.3,70,2020,3,Topeka,KS
"Trenton, NJ Metropolitan Statistical Area",3.3,70,2020,3,Trenton,NJ
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",3.3,70,2020,3,Washington-Arlington-Alexandria,DC-VA-MD-WV
"Amarillo, TX Metropolitan Statistical Area",3.4,79,2020,3,Amarillo,TX
"Gainesville, GA Metropolitan Statistical Area",3.4,79,2020,3,Gainesville,GA
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",3.4,79,2020,3,Minneapolis-St. Paul-Bloomington,MN-WI
"Monroe, MI Metropolitan Statistical Area",3.4,79,2020,3,Monroe,MI
"Montgomery, AL Metropolitan Statistical Area",3.4,79,2020,3,Montgomery,AL
"Provo-Orem, UT Metropolitan Statistical Area",3.4,79,2020,3,Provo-Orem,UT
"Richmond, VA Metropolitan Statistical Area",3.4,79,2020,3,Richmond,VA
"Roanoke, VA Metropolitan Statistical Area",3.4,79,2020,3,Roanoke,VA
"Rochester, MN Metropolitan Statistical Area",3.4,79,2020,3,Rochester,MN
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",3.4,79,2020,3,San Jose-Sunnyvale-Santa Clara,CA
"Austin-Round Rock, TX Metropolitan Statistical Area",3.5,89,2020,3,Austin-Round Rock,TX
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",3.5,89,2020,3,Baltimore-Columbia-Towson,MD
"Danbury, CT Metropolitan NECTA",3.5,89,2020,3,Danbury,CT
"Jackson, MI Metropolitan Statistical Area",3.5,89,2020,3,Jackson,MI
"Knoxville, TN Metropolitan Statistical Area",3.5,89,2020,3,Knoxville,TN
